,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,PCNARz,PCNARp,PCSYNz,PCSYNp,PCCNCz,PCCNCp,PCREFz,PCREFp,PCDCz,PCDCp,PCVERBz,PCVERBp,PCCONNz,PCCONNp,PCTEMPz,PCTEMPp,CRFNO1,CRFAO1,CRFSO1,CRFNOa,CRFAOa,CRFSOa,CRFCWO1,CRFCWO1d,CRFCWOa,CRFCWOad,CRFANP1,CRFANPa,LSASS1,LSASS1d,LSASSp,LSASSpd,LSAPP1,LSAPP1d,LSAGN,LSAGNd,LDTTRc,LDTTRa,LDMTLD,LDVOCD,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCTempx,CNCAdd,CNCPos,CNCNeg,SMCAUSv,SMCAUSvp,SMINTEp,SMCAUSr,SMINTEr,SMCAUSlsa,SMCAUSwn,SMTEMP,SYNLE,SYNNP,SYNMEDpos,SYNMEDwrd,SYNMEDlem,SYNSTRUTa,SYNSTRUTt,DRNP,DRVP,DRAP,DRPP,DRPVAL,DRNEG,DRGERUND,DRINF,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2,WRDPRP3s,WRDPRP3p,WRDFRQc,WRDFRQa,WRDFRQmc,WRDAOAc,WRDFAMc,WRDCNCc,WRDIMGc,WRDMEAc,WRDPOLc,WRDHYPn,WRDHYPv,WRDHYPnv,WRDPOSin,WRDPOSuh,RDFRE,RDFKGL,RDL2,class
f adelphia 1999.txt,329,952,22829,2.894000053,2.180000067,24.35099983,15.32400036,1.898000002,1.116999984,5.592999935,3.137000084,-1.5,6.679999828,0.44600001,67,-0.629999995,26.43000031,0.839999974,79.94999695,-0.041000001,48.40000153,-1.889999986,2.940000057,-1.871000051,3.069999933,-0.449999988,32.63999939,0.703000009,0.746999979,0.779999971,0.538999975,0.592000008,0.63499999,0.162,0.149000004,0.104000002,0.133000001,0.037,0.005,0.363999993,0.213,0.393000007,0.189999998,0.404000014,0.246999994,0.437999994,0.118000001,0.201000005,0.115999997,66.91100311,119.7870026,82.78900146,27.11499977,29.74300003,9.855999947,8.979999542,19.66799927,49.67399979,76.39399719,8.847999573,24.92399979,32.59000015,11.87100029,0.307000011,1.771999955,0.059,0.335000008,0.814999998,5.388999939,1.396999955,0.614000022,0.842999995,0.814999998,0.089000002,0.074000001,383.7219849,140.522995,16.86499977,133.076004,8.717000008,3.022000074,18.79199982,14.14900017,361.7330017,101.3619995,97.15699768,26.93899918,9.418000221,0.481999993,0.218999997,0,0.088,2.540999889,1.861999989,2.736999989,1.082999945,417.3900146,548.3319702,377.3859863,393.2130127,413.7929993,3.515000105,6.585000038,1.771999955,2.476000071,122.4759979,0,21.92499924,16.1590004,10.23999977,f
f Adelphia 2000.txt,324,850,20589,2.622999907,2.211999893,24.61199951,15.95400047,1.909999967,1.111999989,5.613999844,3.118000031,-1.511999965,6.550000191,0.449999988,67.36000061,-0.63499999,26.43000031,0.841000021,79.94999695,0.119000003,54.38000107,-1.962000012,2.5,-1.73300004,4.179999828,-0.448000014,33,0.690999985,0.730000019,0.768000007,0.528999984,0.582000017,0.620999992,0.162,0.149000004,0.105999999,0.137999997,0.034000002,0.006,0.368000001,0.214000002,0.381000012,0.189999998,0.402999997,0.254999995,0.439999998,0.119999997,0.213,0.125,66.29499817,119.1999969,82.90799713,28.46199989,31.52199936,10.34500027,10.53999996,19.33099937,47.45299911,76.54599762,9.373999596,24.18799973,32.34700012,11.80200005,0.337000012,1.827999949,0.054000001,0.31400001,0.813000023,5.472000122,1.411000013,0.596000016,0.834999979,0.808000028,0.090000004,0.075000003,380.1539917,139.201004,18.2140007,135.6549988,9.324999809,3.546000004,19.18499947,14.08500004,362.8150024,100.5400009,96.16799927,27.78199959,10.34500027,0.291000009,0.533999979,0,0.097000003,3.253999949,1.855000019,2.726999998,1.082999945,417.3120117,547.4860229,378.8699951,393.269989,412.1340027,3.523000002,6.645999908,1.761999965,2.51699996,126.4749985,0,20.66399956,16.39500046,10.13399982,f
f Anicom Inc 1998.txt,93,276,7098,2.967999935,1.850000024,26.29299927,15.08300018,1.906999946,1.111999989,5.638999939,3.095999956,-1.391000032,8.229999542,0.02,50.79999924,-0.247999996,40.52000046,0.637000024,73.56999969,0.01,50.40000153,-1.296000004,9.850000381,-2.114000082,1.74000001,-0.379999995,35.20000076,0.708999991,0.771000028,0.80400002,0.563000023,0.60799998,0.654999971,0.142000005,0.129999995,0.090999998,0.109999999,0.033,0.006,0.308999985,0.172000006,0.331999987,0.163000003,0.395000011,0.228,0.405999988,0.105999999,0.328000009,0.189999998,70.58999634,106.4430008,89.18000031,26.48600006,25.35899925,6.902999878,12.25699997,22.54199982,55.64899826,85.65799713,6.198999882,24.51399994,31.55800056,8.453000069,0.286000013,2.344000101,0.066,0.375,0.824000001,5.315000057,1.205000043,0.596000016,0.847000003,0.827000022,0.088,0.075999998,403.9169922,138.6309967,12.25699997,144.8300018,6.762000084,4.507999897,18.03300095,14.0880003,352.9159851,106.6490021,93.82900238,22.11899948,11.69299984,0.282000005,0.282000005,0,0.141000003,1.268000007,1.896000028,2.76699996,1.154999971,412.4670105,557.0739746,384.026001,400.0899963,416.9079895,3.303999901,6.56099987,1.761000037,2.390000105,133.6999969,0,19.39999962,16.94199944,9.887999535,f
f Anicom Inc 1999.txt,53,293,6986,5.527999878,6.690000057,24.3239994,12.44200039,1.871000051,1.075000048,5.532000065,3.019000053,-1.217000008,11.31000042,0.229000002,58.70999908,-0.574000001,28.43000031,0.328000009,62.54999924,0.144999996,55.56999969,-1.547000051,6.179999828,-2.174999952,1.5,-0.230000004,40.90000153,0.653999984,0.726000011,0.736000001,0.479000002,0.558000028,0.560000002,0.131999999,0.127000004,0.085000001,0.108999997,0.089000002,0.037,0.307999998,0.180999994,0.275999993,0.171000004,0.432000011,0.196999997,0.40200001,0.109999999,0.333000004,0.194999993,74.51300049,120.8119965,89.03500366,29.05800056,30.05999947,9.44699955,11.02200031,20.75600052,54.10800171,85.16999817,8.732000351,24.04800034,33.20899963,10.87899971,0.379000008,1.856999993,0.071000002,0.388999999,0.833999991,5.276000023,1.190000057,0.620000005,0.869000018,0.848999977,0.086999997,0.072999999,401.2309875,145.2910004,15.74600029,145.2910004,5.152999878,5.152999878,15.31599998,14.45699978,343.3999939,107.6429977,98.48200226,27.91300011,25.04999924,0.286000013,14.88700008,0.573000014,0,0.859000027,1.891000032,2.742000103,1.121000051,407.131012,555.9650269,379.9769897,396.118988,411.0620117,3.374000072,6.712999821,1.736999989,2.367000103,136.1289978,0,24.34799957,15.7869997,9.187999725,f
f aol  timewarner2000.txt,108,489,12847,4.527999878,3.555999994,26.88299942,13.71000004,1.860000014,1.080000043,5.452000141,3.056999922,-1.43599999,7.639999866,-0.023,49.20000076,-0.122000001,45.22000122,1.121999979,86.86000061,-0.305999994,38.20999908,-1.407999992,8.079999924,-1.812000036,3.50999999,-0.282000005,38.97000122,0.731999993,0.77700001,0.782999992,0.569999993,0.625,0.648999989,0.194000006,0.179000005,0.122000001,0.150000006,0.050999999,0.013,0.365999997,0.219999999,0.326999992,0.208000004,0.467000008,0.241999999,0.446999997,0.129999995,0.239999995,0.140000001,58.38000107,107.5599976,84.84500122,22.18400002,22.96299934,3.813999891,16.03499985,23.11800003,53.00799942,84.68900299,3.036000013,19.22599983,25.45299911,11.36499977,0.323000014,1.463000059,0.071999997,0.398999989,0.841000021,6.482999802,1.452000022,0.603999972,0.833999991,0.815999985,0.104999997,0.075999998,393.7109985,113.7229996,13.4659996,145.2480011,6.460999966,1.94599998,16.19099998,7.705999851,387.3269958,94.02999878,82.50900269,28.48900032,11.2869997,0.078000002,4.125,0,0.156000003,1.011999965,1.881999969,2.75999999,0.963,402.428009,555.0100098,379.6799927,402.57901,425.2250061,3.138999939,6.098999977,1.699000001,2.36500001,132.7940063,0,22.81299973,16.60400009,13.33300018,f
f aol  timewarner2001.txt,46,232,6271,5.043000221,4.210999966,27.65099907,18.88800049,1.825999975,1.057999969,5.363999844,3.109999895,-1.31099999,9.510000229,-0.214000002,41.68000031,0.30399999,61.79000092,0.723999977,76.41999817,-0.237000003,40.90000153,-1.307999969,9.680000305,-1.988000035,2.390000105,-0.778999984,22.05999947,0.718999982,0.783999979,0.783999979,0.513000011,0.583999991,0.603999972,0.187000006,0.170000002,0.097999997,0.119000003,0.090999998,0.025,0.349000007,0.221000001,0.289999992,0.194999993,0.414999992,0.246000007,0.404000014,0.118000001,0.349999994,0.218999997,68.10900116,115.8970032,85.15399933,23.60099983,19.45499992,3.986999989,13.87300014,14.82999992,53.89899826,85.63200378,3.667999983,16.58399963,25.19499969,11.1619997,0.513999999,1.450999975,0.059999999,0.296000004,0.800999999,5.793000221,1.406000018,0.623000026,0.847000003,0.829999983,0.082000002,0.067000002,392.1220093,124.5419998,13.87300014,128.3690033,8.451999664,1.116000056,21.20899963,10.04599953,408.7070007,96.63600159,85.79199982,30.61700058,16.74399948,0.796999991,6.856999874,0,0,1.434999943,1.955000043,2.792999983,1.111999989,387.2390137,559.8250122,390.4760132,409.6690063,430.4150085,3.447000027,5.84499979,1.692000031,2.401000023,126.4550018,0,24.92000008,16.49900055,13.1619997,f
f Assisted Living Concepts 2008.txt,691,1291,26548,1.868000031,1.626000047,21.0170002,14.11299992,1.886999965,1.093999982,5.443999767,3.023000002,-1.123999953,13.14000034,0.588,71.90000153,-1.100999951,13.56999969,0.698000014,75.48999786,0.111000001,54.38000107,-2.210000038,1.360000014,-2.144999981,1.620000005,0.273000002,60.63999939,0.588,0.681999981,0.686999977,0.356999993,0.497999996,0.479000002,0.173999995,0.179000005,0.097999997,0.143999994,0.180999994,0.059,0.344999999,0.206,0.358999997,0.180000007,0.35800001,0.237000003,0.428000003,0.131999999,0.175999999,0.090999998,60.17300034,119.8889999,93.49099731,30.62400055,29.19199944,11.11200047,11.18700027,15.74499989,54.24100113,86.07099915,10.28299999,23.35400009,33.97600174,12.76900005,0.453999996,1.674000025,0.059,0.254000008,0.873000026,4.712999821,1.212000012,0.60799998,0.836000025,0.811999977,0.090000004,0.07,398.5230103,144.4550018,14.65299988,153.7969971,9.454999924,4.445000172,14.46399975,14.61499977,329.2160034,101.2129974,92.73699951,24.03199959,37.89400101,0.112999998,33.18500137,0,0.150999993,2.335000038,1.817999959,2.750999928,1.05400002,422.4379883,547.5570068,365.4129944,387.019989,413.6889954,3.130000114,6.890999794,1.692999959,2.322999954,143.1369934,0.225999996,26.3220005,14.69699955,9.949000359,f
f Assisted Living Concepts 2009.txt,622,1210,25083,1.945000052,1.677000046,21.19499969,14.03499985,1.875,1.090000033,5.415999889,3.030999899,-1.044999957,14.92000008,0.531000018,70.19000244,-1.049999952,14.68999958,0.852999985,80.23000336,0.166999996,56.36000061,-2.233999968,1.289999962,-2.10800004,1.789999962,0.138999999,55.16999817,0.621999979,0.713999987,0.714999974,0.388000011,0.518000007,0.5,0.182999998,0.184,0.104999997,0.150000006,0.180000007,0.057999998,0.351999998,0.206,0.368999988,0.178000003,0.370000005,0.237000003,0.432999998,0.130999997,0.186000004,0.097000003,58.54999924,118.7679977,93.48999786,31.09700012,30.45899963,11.32199955,11.92000008,17.06299973,53.82099915,86.19400024,10.60499954,22.44499969,33.56900024,13.83399963,0.495000005,1.557000041,0.052999999,0.273999989,0.860000014,4.681000233,1.212000012,0.602999985,0.83099997,0.808000028,0.089000002,0.07,398.9949951,148.427002,14.79100037,152.0950012,9.487999916,4.78399992,16.90399933,15.34899998,323.2470093,102.1800003,94.08799744,24.5189991,37.59500122,0.039999999,32.69100189,0,0.158999994,2.39199996,1.83099997,2.756000042,1.019999981,419.2470093,548.6849976,364.2749939,385.9429932,414.519989,3.127000093,6.993000031,1.695000052,2.318000078,141.4900055,0.199000001,27.16900063,14.61999989,10.64500046,f
f Bally Gaming and Systems 2004.txt,358,878,22830,2.453000069,1.781000018,26.37599945,17.79100037,1.866000056,1.085000038,5.357999802,3.032999992,-1.273000002,10.19999981,0.277999997,60.63999939,-0.435000002,33.36000061,0.726000011,76.41999817,0.137999997,55.16999817,-1.781999946,3.75,-2.829999924,0.230000004,-0.243000001,40.52000046,0.649999976,0.734000027,0.763999999,0.451000005,0.569000006,0.595000029,0.144999996,0.129999995,0.090000004,0.112999998,0.143000007,0.059,0.330000013,0.194999993,0.344999999,0.185000002,0.372999996,0.216999993,0.409000009,0.109999999,0.202999994,0.108999997,64.04399872,107.0859985,95.66400146,27.15699959,36.96900177,16.90800095,10.42500019,17.25799942,59.39599991,82.04100037,15.72500038,20.85000038,28.64699936,12.35200024,0.372999996,1.710000038,0.061000001,0.310000002,0.829999983,5.956999779,1.353999972,0.620999992,0.850000024,0.828000009,0.089000002,0.071999997,380.2009888,149.4519958,16.33799934,137.276001,11.86999989,4.03000021,14.23600006,14.67399979,349.1019897,94.39399719,89.35700226,26.71899986,26.80699921,0.832000017,21.06900024,0,0.307000011,2.015000105,1.850000024,2.819000006,1.080000043,413.9320068,550.6760254,382.3980103,401.6809998,413.9960022,3.25999999,6.596000195,1.725000024,2.378000021,130.5740051,0,22.57900047,16.56999969,9.06799984,f
f Bally Gaming and Systems 2005.txt,401,807,18054,2.012000084,1.539999962,22.87599945,13.97200012,1.838999987,1.050999999,5.363999844,2.954999924,-1.133999944,12.92000008,0.301999986,61.79000092,-0.469000012,31.92000008,0.375,64.43000031,0.149000004,55.56999969,-1.916000009,2.809999943,-2.335999966,0.99000001,-0.068000004,47.61000061,0.561999977,0.697000027,0.699000001,0.354000002,0.519999981,0.504000008,0.140000001,0.143000007,0.083999999,0.114,0.209999993,0.075999998,0.296999991,0.193000004,0.300000012,0.175999999,0.333000004,0.204999998,0.397000015,0.108999997,0.245000005,0.131999999,69.64900208,118.2900009,91.72499847,27.47299957,33.89799881,10.68999958,13.46000004,24.37100029,55.66600037,85.07800293,9.914999962,21.54599953,31.46100044,12.85000038,0.458999991,1.463999987,0.052000001,0.294999987,0.847000003,4.961999893,1.343000054,0.615999997,0.85799998,0.833000004,0.089000002,0.071999997,388.2799988,139.6369934,18.99900055,138.4179993,9.138999939,4.375999928,15.56400013,13.0170002,334.1640015,93.33000183,100.3649979,31.90399933,39.82500076,0.331999987,35.94800186,0.27700001,0,2.105000019,1.85800004,2.762000084,0.953000009,404.7139893,551.7719727,382.0090027,401.8320007,418.8670044,3.233999968,6.853000164,1.692999959,2.338000059,130.1649933,0,28.54800034,14.83500004,8.994000435,f
