Affect Ratio,Imagery   ,Pleasantness,Average Sentence Length,Average Word Length,Content Word Diversity,Function Word Diversity,Lexical Diversity,Emotiveness,Group References,Other References,Passive Verb Ratio,Modifier Quantity,Sentence Quantity,Verb Quantity,Word Quantity,Sensory Ratio,Spatio-temporal ratio,Modal Verb Ratio,class
0.04,401.00,0.04,28.46,1.72,0.58,10.60,0.35,0.47,0.09,0.39,0.07,824.01,285.00,686.00,6376.00,0.01,0.16,0.11,F
0.04,401.00,0.04,28.13,1.72,0.58,9.63,0.34,0.28,0.21,0.78,0.12,736.99,304.00,630.00,6318.00,0.01,0.14,0.22,F
0.04,406.45,0.04,31.17,1.70,0.63,8.77,0.38,0.25,0.02,0.02,0.12,139.00,73.00,125.00,1390.00,0.00,0.13,0.09,N
0.04,408.80,0.04,18.27,1.71,0.58,8.14,0.34,0.99,0.00,0.46,0.09,144.99,78.00,138.00,1425.00,0.00,0.16,0.08,N
0.04,408.76,0.04,31.93,1.75,0.56,7.43,0.36,0.26,0.21,0.35,0.08,585.00,292.00,472.99,5062.00,0.01,0.15,0.13,F
0.05,404.34,0.04,33.16,1.75,0.56,8.26,0.36,0.25,0.19,0.25,0.08,670.00,308.00,616.00,5939.00,0.15,0.00,0.11,F
0.05,397.47,0.04,28.55,1.71,0.47,8.21,0.29,0.23,0.14,0.34,0.11,955.00,507.00,955.00,9410.00,0.00,0.08,0.20,N
0.04,397.87,0.04,31.49,1.73,0.48,8.08,0.29,0.22,0.13,0.32,0.11,714.00,389.00,729.00,7237.00,0.14,0.19,0.23,N
0.04,407.24,0.03,26.00,1.80,0.48,0.08,0.31,0.28,0.22,0.27,0.05,1368.98,542.00,1133.00,11165.00,0.01,0.16,0.09,F
0.05,403.93,0.04,26.77,1.86,0.47,9.23,0.31,0.29,0.18,0.29,0.04,1558.00,561.00,1130.00,12033.00,0.01,0.16,0.10,F
0.05,407.35,0.04,22.34,1.84,0.54,7.36,0.36,0.27,0.26,0.25,0.04,1652.00,698.00,1336.00,13090.00,0.01,0.14,0.12,F
0.05,406.26,0.04,26.23,1.87,0.51,7.34,0.34,0.28,0.30,0.28,0.02,2116.00,886.00,1714.00,16558.00,0.01,0.13,0.11,F
0.03,411.79,0.02,31.39,1.86,0.57,7.68,0.37,0.32,0.12,0.27,0.04,1398.00,472.00,968.00,9548.00,0.01,0.13,0.11,N
0.03,415.61,0.02,31.96,1.77,0.53,7.73,0.35,0.33,0.23,0.29,0.04,991.00,354.00,624.00,6802.00,0.01,0.14,0.23,N
0.03,413.84,0.02,31.99,1.79,0.52,8.16,0.33,0.30,0.16,0.24,0.03,1141.00,423.00,861.00,8414.00,0.01,0.16,0.18,F
0.03,415.95,0.02,31.82,1.78,0.51,8.38,0.33,0.04,1.30,1.72,0.25,144.00,357.00,103.00,7273.00,0.01,0.16,1.06,F
0.04,414.00,0.03,29.14,1.77,0.55,8.96,0.34,0.23,0.12,0.40,0.08,1080.00,459.00,822.00,10075.00,0.00,0.13,0.15,N
0.04,416.00,0.04,32.14,1.78,0.54,10.75,0.34,0.09,0.11,0.46,0.09,1320.00,484.00,976.00,11599.00,0.01,0.15,0.18,N
0.05,415.00,0.04,28.02,1.73,0.61,9.51,0.37,0.29,0.19,0.24,0.08,459.00,176.00,382.00,3656.00,0.01,0.19,0.13,F
